id,ssn,full_name,username,password,phone_number,email,address
TC-010355,068202111999,Nguyen Thi Thu Huong,huongntt,123,0123456789,thuhuong@gmail.com,"Linh Trung ward, Thu Duc city, Ho Chi Minh"
TC-010999,068201459088,Nguyen Van Hung,hungnv,9202,0706880704,hungnguyen@gmail.com,"Ward 4, District 8, Ho Chi Minh"
TC-201033,261592320,Nguyen Thanh Hoang,hoangnt,1999,0982555801,thanhhoang@gmail.com,"Ward 14, District 10, Ho Chi Minh"
SD-000493,261000107,Tran Van Tuan,tuankute,aaaa,0943494094,toitentuan@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000492,042905305333,Pham Huyen Khanh,khanh123,bc22,0938887051,khanh2002@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000494,042905305391,Nguyen Thi Kim Vu,vuuukim,coss10,0934280008,vunguyenthikim@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000495,042905305449,Pham Xuan Khai,khai,123,0929672965,aiki@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000496,042905305507,Le Quang Anh,lqaaaaa,ff92,0925065922,youknowwho@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000497,042905305565,Huynh Tan Phat,phatne09,valophat,0920458879,testingmm@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000498,261592118,Tran Thi Kieu Duong,vv1,duong,0915851836,duongtran02@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000499,261588031,Ngo Ba Kha,khabanh,30113,0911244793,khabanh@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000500,261583944,Tran Quoc Hung,hunggg1,tttttt,0906637750,totoro@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
SD-000501,261579857,Nguyen Quang Khanh,khanhnq,bkqk,0902030707,khanhnguyen@gmail.com,"Dong Hoa ward, Di An district, Binh Duong"
